Time_s,Raw_Theta_deg
7.827863685516423686e+01,4.168103951887800918e+00
7.828696968855312832e+01,4.168103951887800918e+00
7.829530252194200557e+01,7.575511557824530229e+00
7.830363535533088282e+01,7.575511557824530229e+00
7.831196818871977428e+01,7.575511557824530229e+00
7.832030102210865152e+01,7.575511557824530229e+00
7.832863385549752877e+01,1.246342469894449323e+01
7.833696668888642023e+01,1.246342469894449323e+01
7.834529952227529748e+01,1.246342469894449323e+01
7.835363235566418894e+01,1.246342469894449323e+01
7.836196518905306618e+01,9.286222404940447461e+01
7.837029802244194343e+01,9.286222404940447461e+01
7.837863085583083489e+01,9.286222404940447461e+01
7.838696368921971214e+01,9.286222404940447461e+01
7.842862785616412680e+01,2.688031174505077914e+01
7.843696068955300404e+01,2.688031174505077914e+01
7.844529352294189550e+01,2.688031174505077914e+01
7.845362635633077275e+01,2.688031174505077914e+01
7.846195918971966421e+01,3.075255248769346395e+01
7.847029202310854146e+01,3.075255248769346395e+01
7.847862485649741870e+01,3.075255248769346395e+01
7.848695768988631016e+01,3.075255248769346395e+01
7.849529052327518741e+01,3.321794535616512434e+01
7.850362335666407887e+01,3.321794535616512434e+01
7.851195619005295612e+01,3.321794535616512434e+01
7.852028902344183336e+01,3.321794535616512434e+01
7.852862185683072482e+01,3.486883009306390591e+01
7.853695469021960207e+01,3.486883009306390591e+01
7.854528752360847932e+01,3.486883009306390591e+01
7.855362035699737078e+01,3.486883009306390591e+01
7.856195319038624802e+01,3.540431652035501031e+01
7.857028602377513948e+01,3.540431652035501031e+01
7.857861885716401673e+01,3.540431652035501031e+01
7.858695169055289398e+01,3.540431652035501031e+01
7.859528452394178544e+01,3.460711870113998856e+01
7.860361735733066268e+01,3.460711870113998856e+01
7.861195019071955414e+01,3.460711870113998856e+01
7.862028302410843139e+01,3.460711870113998856e+01
7.862861585749730864e+01,3.248079128230109092e+01
7.863694869088620010e+01,3.248079128230109092e+01
7.864528152427507735e+01,3.248079128230109092e+01
7.865361435766395459e+01,3.248079128230109092e+01
7.866194719105284605e+01,2.958249789664140295e+01
7.867028002444172330e+01,2.958249789664140295e+01
7.867861285783061476e+01,2.958249789664140295e+01
7.868694569121949201e+01,2.958249789664140295e+01
7.869527852460836925e+01,2.539420761414602268e+01
7.870361135799726071e+01,2.539420761414602268e+01
7.871194419138613796e+01,2.539420761414602268e+01
7.872027702477502942e+01,2.539420761414602268e+01
7.872860985816390667e+01,2.005492891637070230e+01
7.873694269155278391e+01,2.005492891637070230e+01
7.874527552494167537e+01,2.005492891637070230e+01
7.875360835833055262e+01,2.005492891637070230e+01
7.876194119171942987e+01,1.565182986445772961e+01
7.877027402510832133e+01,1.565182986445772961e+01
7.877860685849719857e+01,1.565182986445772961e+01
7.878693969188609003e+01,1.565182986445772961e+01
7.879527252527496728e+01,1.028074129623638910e+01
7.880360535866384453e+01,1.028074129623638910e+01
7.881193819205273599e+01,1.028074129623638910e+01
7.882027102544161323e+01,1.028074129623638910e+01
